ts_code,symbol,name,area,industry,market,list_date
513550.SH,513550,港股通50ETF,,T+0交易,ETF,20210113
512970.SH,512970,大湾区ETF,,T+1交易,ETF,20191111
513630.SH,513630,港股红利指数ETF,,T+0交易,ETF,20231208
513230.SH,513230,港股消费ETF,,T+0交易,ETF,20220124
513700.SH,513700,香港医药ETF,,T+0交易,ETF,20210806
513020.SH,513020,港股科技ETF,,T+0交易,ETF,20220208
513770.SH,513770,港股互联网ETF,,T+0交易,ETF,20220218
513120.SH,513120,港股创新药ETF,,T+0交易,ETF,20220712
513100.SH,513100,纳指ETF,,T+0交易,ETF,20130515
513650.SH,513650,标普500ETF南方,,T+0交易,ETF,20230404
513850.SH,513850,美国50ETF,,T+1交易,ETF,20231117
513880.SH,513880,日经225ETF,,T+0交易,ETF,20190625
159561.SZ,159561,德国ETF,,T+0交易,ETF,20240430
513080.SH,513080,法国CAC40ETF,,T+0交易,ETF,20200612
515500.SH,515500,中证长三角领先,,T+1交易,ETF,20200918
515150.SH,515150,一带一路ETF,,T+1交易,ETF,20200115
512980.SH,512980,传媒ETF,,T+1交易,ETF,20180119
516010.SH,516010,游戏ETF,,T+1交易,ETF,20210305
516620.SH,516620,影视ETF,,T+1交易,ETF,20211105
562510.SH,562510,旅游ETF,,T+1交易,ETF,20211230
516910.SH,516910,物流ETF,,T+1交易,ETF,20210611
159666.SZ,159666,交通运输ETF,,T+1交易,ETF,20230213
560800.SH,560800,数字经济ETF,,T+1交易,ETF,20220107
159399.SZ,159399,现金流ETF,,T+1交易,ETF,20250227
